Sample,AAPL,AMZN,GOOG,FB,MSFT
1,156.57,2763.34,2300.41,174.95,283.22
2,156.57,2763.34,2300.41,174.95,283.22
3,156.57,2763.34,2300.41,174.95,283.22
4,156.57,2763.34,2300.41,174.95,283.22
5,156.57,2763.34,2300.41,174.95,283.22
6,156.57,2763.34,2300.41,174.95,283.22
7,156.57,2763.34,2300.41,174.95,283.22
8,156.57,2763.34,2300.41,174.95,283.22
9,156.57,2763.34,2300.41,174.95,283.22
10,156.57,2763.34,2300.41,174.95,283.22
11,156.57,2763.34,2300.41,174.95,283.22
12,156.57,2763.34,2300.41,174.95,283.22
13,156.57,2763.34,2300.41,174.95,283.22
